1650,2.66e-05, 1.44e-05
1660,2.31e-05, 1.64e-05
1670,2.58e-05, 1.54e-05
1680,2.35e-05, 1.67e-05
1690,2.56e-05, 1.57e-05
1700,2.77e-05, 1.78e-05
1710,2.65e-05, 1.62e-05
1720,2.77e-05, 1.53e-05
1730,2.46e-05, 1.49e-05
1740,2.45e-05, 1.55e-05
1750,2.89e-05, 1.85e-05
1760,2.68e-05, 1.84e-05
1770,2.9e-05, 1.79e-05
1780,3.11e-05, 1.85e-05
1790,2.88e-05, 1.69e-05
1800,2.99e-05, 1.93e-05
1810,2.8e-05, 1.71e-05
1820,2.75e-05, 1.92e-05
1830,2.79e-05, 1.57e-05
1840,2.86e-05, 1.8e-05
1850,3.08e-05, 1.76e-05
1860,2.84e-05, 1.63e-05
1870,2.88e-05, 1.96e-05
1880,2.86e-05, 1.67e-05
1890,2.85e-05, 1.78e-05
1900,3.16e-05, 1.68e-05
1910,2.69e-05, 1.69e-05
1920,2.7e-05, 1.8e-05
1930,2.96e-05, 1.81e-05
1940,2.74e-05, 1.8e-05
1950,3.17e-05, 1.71e-05
1960,2.83e-05, 1.84e-05
1970,2.88e-05, 1.69e-05
1980,2.94e-05, 1.81e-05
1990,2.98e-05, 2.11e-05
2000,2.99e-05, 2.06e-05
